Time,Humidity,Tempreture
0,44.00,21.80
1,44.00,21.80
2,44.00,21.80
3,42.00,22.60
4,42.00,22.60
5,42.00,22.60
6,42.00,22.60
7,42.00,22.60
8,42.00,22.60
9,42.00,22.90
10,42.00,22.90
11,42.00,22.90
12,42.00,23.00
13,42.00,23.00
14,42.00,23.00
15,42.00,23.00
16,42.00,23.00
17,42.00,23.00
18,42.00,23.00
19,42.00,23.00
20,42.00,23.00
21,42.00,23.00
22,42.00,23.00
23,42.00,23.00
24,42.00,23.00
25,42.00,23.00
26,42.00,23.00
27,42.00,23.00
28,42.00,23.00
29,42.00,23.00
30,42.00,23.00
31,42.00,23.00
32,42.00,23.00
33,42.00,23.00
34,42.00,23.00
35,42.00,23.00
36,42.00,23.00
37,42.00,23.00
38,42.00,23.00
39,42.00,23.00
40,42.00,23.00
41,42.00,23.00
42,42.00,23.00
43,42.00,23.00
44,42.00,23.00
45,42.00,23.00
46,42.00,23.00
47,42.00,23.00
48,42.00,23.00
49,42.00,23.00
50,42.00,23.00
51,42.00,23.00
52,42.00,23.00
53,42.00,23.00
54,42.00,23.00
55,42.00,23.00
56,42.00,23.00
57,42.00,23.00
58,42.00,23.00
59,42.00,23.00
60,42.00,23.00
61,42.00,23.00
62,42.00,23.00
63,42.00,23.00
64,42.00,23.00
65,42.00,23.00
66,42.00,23.00
67,42.00,23.00
68,42.00,23.00
69,42.00,23.00
70,42.00,23.00
71,42.00,23.00
72,42.00,23.00
73,42.00,23.00
74,42.00,23.00
75,42.00,23.00
76,42.00,23.00
77,42.00,23.00
78,42.00,23.00
79,42.00,23.00
80,42.00,23.00
81,42.00,23.00
82,42.00,23.00
83,42.00,23.00
84,42.00,23.00
85,42.00,23.00
86,42.00,23.00
87,42.00,23.00
88,42.00,23.00
89,42.00,23.00
90,42.00,23.00
91,42.00,23.00
92,42.00,23.00
93,42.00,23.00
94,42.00,23.00
95,42.00,23.00
96,42.00,23.00
97,42.00,23.00
98,42.00,23.00
99,42.00,23.00
100,42.00,23.00
101,42.00,23.00
102,42.00,23.00
103,42.00,23.00
104,42.00,23.00
105,42.00,23.00
106,42.00,23.00
107,42.00,23.00
108,42.00,23.00
109,42.00,23.00
110,42.00,23.00
111,42.00,23.00
112,42.00,23.00
113,42.00,23.00
114,42.00,23.00
115,42.00,23.00
116,42.00,23.00
117,42.00,23.00
118,42.00,23.00
119,42.00,23.00
120,42.00,23.00
121,42.00,23.00
122,42.00,23.00
123,42.00,23.00
124,42.00,23.00
125,42.00,23.00
126,42.00,23.00
127,42.00,23.00
128,42.00,23.00
129,42.00,23.00
130,42.00,23.00
131,42.00,23.00
132,42.00,23.00
133,42.00,23.00
134,42.00,23.00
135,42.00,23.00
136,42.00,23.00
137,42.00,23.00
138,42.00,23.00
139,42.00,23.00
140,42.00,23.00
141,41.00,23.00
142,41.00,23.00
143,41.00,23.00
144,41.00,23.00
145,41.00,23.00
146,41.00,23.00
147,41.00,23.00
148,41.00,23.00
149,41.00,23.00
150,41.00,23.00
151,41.00,23.00
152,41.00,23.00
153,41.00,23.40
154,41.00,23.40
155,41.00,23.40
156,41.00,23.40
157,41.00,23.40
158,41.00,23.40
159,41.00,23.40
160,41.00,23.40
161,41.00,23.40
162,41.00,23.40
163,41.00,23.40
164,41.00,23.40
165,41.00,23.40
166,41.00,23.40
167,41.00,23.40
168,41.00,23.40
169,41.00,23.40
170,41.00,23.40
171,41.00,23.40
172,41.00,23.40
173,41.00,23.40
174,41.00,23.40
175,41.00,23.40
176,41.00,23.40
177,41.00,23.40
178,41.00,23.40
179,41.00,23.40
180,41.00,23.40
181,41.00,23.40
182,41.00,23.40
183,41.00,23.40
184,41.00,23.40
185,41.00,23.40
186,41.00,23.40
187,41.00,23.40
188,41.00,23.40
189,41.00,23.40
190,41.00,23.40
191,41.00,23.40
192,41.00,23.40
193,41.00,23.40
194,41.00,23.40
195,41.00,23.40
196,41.00,23.40
197,41.00,23.40
198,41.00,23.40
199,41.00,23.40
200,41.00,23.40
201,41.00,23.40
202,41.00,23.40
203,41.00,23.40
204,41.00,23.40
205,41.00,23.40
206,41.00,23.40
207,41.00,23.40
208,41.00,23.40
209,41.00,23.40
210,41.00,23.40
211,41.00,23.40
212,41.00,23.40
213,41.00,23.40
214,41.00,23.40
215,41.00,23.40
216,41.00,23.40
217,41.00,23.40
218,41.00,23.40
219,41.00,23.40
220,41.00,23.40
221,41.00,23.40
222,41.00,23.80
223,41.00,23.80
224,41.00,23.80
225,41.00,23.80
226,41.00,23.80
227,41.00,23.80
228,41.00,23.80
229,41.00,23.80
230,41.00,23.80
231,41.00,23.80
232,41.00,23.80
233,41.00,23.80
234,41.00,23.80
235,41.00,23.80
236,41.00,23.80
237,41.00,23.80
238,41.00,23.80
239,41.00,23.80
240,41.00,23.80
241,41.00,23.80
242,41.00,23.80
243,41.00,23.80
244,41.00,23.80
245,41.00,23.80
246,41.00,23.80
247,41.00,23.80
248,41.00,23.80
249,41.00,23.80
250,41.00,23.80
251,41.00,23.80
252,41.00,23.80
253,41.00,23.80
254,41.00,23.80
255,41.00,23.80
256,41.00,23.80
257,41.00,23.80
258,41.00,23.80
259,41.00,23.80
260,41.00,23.80
261,41.00,23.80
262,41.00,23.80
263,41.00,23.80
264,40.00,23.80
265,40.00,23.80
266,40.00,23.80
267,40.00,23.80
268,40.00,23.80
269,40.00,23.80
270,40.00,23.80
271,40.00,23.80
272,40.00,23.80
273,40.00,23.80
274,40.00,23.80
275,40.00,23.80
276,40.00,23.80
277,40.00,23.80
278,40.00,23.80
279,40.00,23.80
280,40.00,23.80
281,40.00,23.80
282,40.00,23.80
283,40.00,23.80
284,40.00,23.80
285,40.00,23.80
286,40.00,23.80
287,40.00,23.80
288,40.00,23.80
289,40.00,23.80
290,40.00,23.80
291,40.00,23.80
292,40.00,23.80
293,40.00,23.80
294,40.00,23.80
295,40.00,23.80
296,40.00,23.80
297,40.00,23.80
298,40.00,23.80
299,40.00,23.80
300,40.00,23.80
301,40.00,23.80
302,40.00,23.80
303,40.00,23.80
304,40.00,23.80
305,40.00,23.80
306,40.00,23.90
307,40.00,23.90
308,40.00,23.90
309,40.00,24.10
310,40.00,24.10
311,40.00,24.10
312,40.00,24.10
313,40.00,24.10
314,40.00,24.10
315,40.00,24.10
316,40.00,24.10
317,40.00,24.10
318,40.00,24.10
319,40.00,24.10
320,40.00,24.10
321,40.00,24.10
322,40.00,24.10
323,40.00,24.10
324,40.00,24.10
325,40.00,24.10
326,40.00,24.10
327,40.00,24.10
328,40.00,24.10
329,40.00,24.10
330,40.00,24.10
331,40.00,24.10
332,40.00,24.10
333,40.00,24.10
334,40.00,24.10
335,40.00,24.10
336,40.00,24.10
337,40.00,24.10
338,40.00,24.10
339,40.00,24.10
340,40.00,24.10
341,40.00,24.10
342,40.00,24.10
343,40.00,24.10
344,40.00,24.10
345,40.00,24.10
346,40.00,24.10
347,40.00,24.10
348,40.00,24.10
349,40.00,24.10
350,40.00,24.10
351,40.00,24.10
352,40.00,24.10
353,40.00,24.10
354,40.00,24.10
355,40.00,24.10
356,40.00,24.10
357,40.00,24.10
358,40.00,24.10
359,40.00,24.10
360,40.00,24.10
361,40.00,24.10
362,40.00,24.10
363,40.00,24.10
364,40.00,24.10
365,40.00,24.10
366,40.00,24.10
367,40.00,24.10
368,40.00,24.10
369,40.00,24.10
370,40.00,24.10
371,40.00,24.10
372,40.00,24.10
373,40.00,24.10
374,40.00,24.10
375,40.00,24.10
376,40.00,24.10
377,40.00,24.10
378,40.00,24.10
379,40.00,24.10
380,40.00,24.10
381,40.00,24.10
382,40.00,24.10
383,40.00,24.10
384,40.00,24.10
385,40.00,24.10
386,40.00,24.10
387,40.00,24.10
388,40.00,24.10
389,40.00,24.10
390,40.00,24.10
391,40.00,24.10
392,40.00,24.10
393,40.00,24.10
394,40.00,24.10
395,40.00,24.10
396,40.00,24.10
397,40.00,24.10
398,40.00,24.10
399,40.00,24.10
400,40.00,24.10
401,40.00,24.10
402,40.00,24.10
403,40.00,24.10
404,40.00,24.10
405,40.00,24.10
406,40.00,24.10
407,40.00,24.10
408,40.00,24.10
409,40.00,24.10
410,40.00,24.10
411,39.00,24.10
412,39.00,24.10
413,39.00,24.10
414,39.00,24.10
415,39.00,24.10
416,39.00,24.10
417,39.00,24.10
418,39.00,24.10
419,39.00,24.10
420,39.00,24.10
421,39.00,24.10
422,39.00,24.10
423,39.00,24.10
424,39.00,24.10
425,39.00,24.10
426,39.00,24.10
427,39.00,24.10
428,39.00,24.10
429,39.00,24.10
430,39.00,24.10
431,39.00,24.10
432,39.00,24.10
433,39.00,24.10
434,39.00,24.10
435,39.00,24.10
436,39.00,24.10
437,39.00,24.10
438,39.00,24.10
439,39.00,24.10
440,39.00,24.10
441,39.00,24.10
442,39.00,24.10
443,39.00,24.10
444,39.00,24.10
445,39.00,24.10
446,39.00,24.10
447,39.00,24.10
448,39.00,24.10
449,39.00,24.10
450,39.00,24.10
451,39.00,24.10
452,39.00,24.10
453,39.00,24.10
454,39.00,24.10
455,39.00,24.10
456,39.00,24.10
457,39.00,24.10
458,39.00,24.10
459,39.00,24.10
460,39.00,24.10
461,39.00,24.10
462,39.00,24.10
463,39.00,24.10
464,39.00,24.10
465,39.00,24.10
466,39.00,24.10
467,39.00,24.10
468,39.00,24.10
469,39.00,24.10
470,39.00,24.10
471,39.00,24.10
472,39.00,24.10
473,39.00,24.10
474,39.00,24.10
475,39.00,24.10
476,39.00,24.10
477,39.00,24.10
478,39.00,24.10
479,39.00,24.10
480,39.00,24.10
481,39.00,24.10
482,39.00,24.10
483,39.00,24.10
484,39.00,24.10
485,39.00,24.10
486,39.00,24.10
487,39.00,24.10
488,39.00,24.10
489,39.00,24.10
490,39.00,24.10
491,39.00,24.10
492,39.00,24.20
493,39.00,24.20
494,39.00,24.20
495,39.00,24.30
496,39.00,24.30
497,39.00,24.30
498,39.00,24.40
499,39.00,24.40
500,39.00,24.40
501,39.00,24.50
502,39.00,24.50
503,39.00,24.50
504,39.00,24.50
505,39.00,24.50
506,39.00,24.50
507,39.00,24.50
508,39.00,24.50
509,39.00,24.50
510,39.00,24.50
511,39.00,24.50
512,39.00,24.50
513,39.00,24.50
514,39.00,24.50
515,39.00,24.50
516,39.00,24.50
517,39.00,24.50
518,39.00,24.50
519,39.00,24.50
520,39.00,24.50
521,39.00,24.50
522,39.00,24.50
523,39.00,24.50
524,39.00,24.50
525,39.00,24.50
526,39.00,24.50
527,39.00,24.50
528,39.00,24.50
529,39.00,24.50
530,39.00,24.50
531,39.00,24.50
532,39.00,24.50
533,39.00,24.50
534,39.00,24.50
535,39.00,24.50
536,39.00,24.50
537,39.00,24.50
538,39.00,24.50
539,39.00,24.50
540,39.00,24.50
541,39.00,24.50
542,39.00,24.50
543,39.00,24.50
544,39.00,24.50
545,39.00,24.50
546,39.00,24.50
547,39.00,24.50
548,39.00,24.50
549,39.00,24.50
550,39.00,24.50
551,39.00,24.50
552,39.00,24.50
553,39.00,24.50
554,39.00,24.50
555,39.00,24.50
556,39.00,24.50
557,39.00,24.50
558,39.00,24.50
559,39.00,24.50
560,39.00,24.50
561,39.00,24.50
562,39.00,24.50
563,39.00,24.50
564,39.00,24.50
565,39.00,24.50
566,39.00,24.50
567,39.00,24.50
568,39.00,24.50
569,39.00,24.50
570,39.00,24.50
571,39.00,24.50
572,39.00,24.50
573,39.00,24.50
574,39.00,24.50
575,39.00,24.50
576,39.00,24.50
577,39.00,24.50
578,39.00,24.50
579,39.00,24.50
580,39.00,24.50
581,39.00,24.50
582,39.00,24.50
583,39.00,24.50
584,39.00,24.50
585,39.00,24.50
586,39.00,24.50
587,39.00,24.50
588,39.00,24.50
589,39.00,24.50
590,39.00,24.50
591,39.00,24.50
592,39.00,24.50
593,39.00,24.50
594,39.00,24.50
595,39.00,24.50
596,39.00,24.50
597,39.00,24.50
598,39.00,24.50
599,39.00,24.50
600,39.00,24.50
601,39.00,24.50
602,39.00,24.50
